link,Nome,Endereco
https://www.smartfit.com.br/academias/dom-lustosa,Dom Lustosa,"Rua Coronel Matos Dourado, 1280 - Dom Lustosa"
https://www.smartfit.com.br/academias/riomar-kennedy,RioMar Kennedy,Avenida Sargento Hermínio Sampaio 3.100 - Presidente Kennedy
https://www.smartfit.com.br/academias/jabotiana,Jabotiana,"Rua Major João Teles , s/n - Jabotiana"
https://www.smartfit.com.br/academias/jardins,Jardins,"Av. Deputado Pedro Valadares, 890  - Jardins Aracaju"
https://www.smartfit.com.br/academias/riomar-shopping,Riomar Shopping,"Avenida Delmiro Gouveia 400, LOJA 174 - Coroa do Meio"
https://www.smartfit.com.br/academias/farolandia,Farolândia,"Avenida Capitão Joaquim Martins Fontes, 250 - Farolândia"
https://www.smartfit.com.br/academias/aracatuba,Araçatuba,"Av. Joaquim Pompeu de Toledo, 601 - Vila Estádio"
https://www.smartfit.com.br/academias/parnaiba,Parnaíba ,"Avenida São Sebastião, 2915 - Piauí"
https://www.smartfit.com.br/academias/avare,Avaré,"Av. Pref. Paulo Novais, 5 - Centro"
https://www.smartfit.com.br/academias/aurora-shopping,Aurora Shopping,"Av. Ayrton Senna da Silva, 400 - Gleba Fazenda Palhano"
https://www.smartfit.com.br/academias/bucarein,Bucarein,"Rua São Paulo, 910 - Bucarein"
https://www.smartfit.com.br/academias/saguacu,Saguaçu,"Rua João Pessoa, 276 - Saguaçu"
https://www.smartfit.com.br/academias/aventureiro,Aventureiro,"Rua Tuiuti, 2295 - Aventureiro"
https://www.smartfit.com.br/academias/av-trinta-e-seis,Av. Trinta e Seis,"Avenida Padre Francisco Salles Culturato, 924 - Centro"
https://www.smartfit.com.br/academias/mauricio-galli,Maurício Galli,"Rua Mauricio Galli, 555 - Vila Sedenho"
https://www.smartfit.com.br/academias/araras,Araras,"Av. Dona Renata, 2954 - Vila Michelin"
https://www.smartfit.com.br/academias/rio-claro,Rio Claro,"Rua 14, 289 - Estádio"
https://www.smartfit.com.br/academias/limeira,Limeira,"Avenida Campinas, 50 - Vila Cidade Jardim"
https://www.smartfit.com.br/academias/sitio-cercado,Sítio Cercado,"Rua Izaac Ferreira da Cruz, 1930 - Sítio Cercado"
https://www.smartfit.com.br/academias/fazendinha,Fazendinha,"R. Carlos Klemtz, 1994 - Fazendinha"
https://www.smartfit.com.br/academias/portao,Portão,"Rua Eduardo Carlos Pereira, 3605 - Portão"
https://www.smartfit.com.br/academias/boqueirao,Boqueirão,"Rua Maestro Carlos Frank, 1869 - Alto Boqueirão"
https://www.smartfit.com.br/academias/avenida-sete-de-setembro,Avenida Sete de Setembro,"Avenida Sete de Setembro,6517 - Batel"
https://www.smartfit.com.br/academias/agua-verde,Água Verde,"Avenida República Argentina,900 - Água Verde"
https://www.smartfit.com.br/academias/hauer,Hauer,"BR-116, 13044 - Novo Mundo"
https://www.smartfit.com.br/academias/champagnat,Champagnat,"Rua General Mário Tourinho, 1805 - Campina do Siqueira"
https://www.smartfit.com.br/academias/parque-barigui,Parque Barigui,"Rua General Mário Tourinho, 2489 - Seminário"
https://www.smartfit.com.br/academias/batel,Batel,"Av. Silva Jardim, 2522 - Batel"
https://www.smartfit.com.br/academias/shopping-sao-jose,Shopping São José,"R. Dona Izabel A Redentora, 1434 - Centro"
https://www.smartfit.com.br/academias/reboucas,Rebouças,"Avenida Marechal Floriano Peixoto, 2680 - Rebouças"
https://www.smartfit.com.br/academias/shopping-curitiba,Shopping Curitiba,"Rua Brigadeiro Franco, 2300 - Centro"
https://www.smartfit.com.br/academias/express-mall-uberaba,Express Mall Uberaba,"Avenida Senador Salgado Filho, nº 4566 - Uberaba"
https://www.smartfit.com.br/academias/shopping-estacao,Shopping Estação,"Av. Sete de Setembro, 2775 - Centro"
https://www.smartfit.com.br/academias/santa-felicidade,Santa Felicidade,"Avenida Manoel Ribas, 5712 - Santa Felicidade"
https://www.smartfit.com.br/academias/jardim-das-americas-1,Jardim das Américas,"Av. Nossa Senhora de Lourdes, 63 - Jardim das Américas"
https://www.smartfit.com.br/academias/juveve,Juvevê,"Rua Augusto Stresser, 1588 - Juvevê"
https://www.smartfit.com.br/academias/taruma,Taruma,"Avenida Afonso Penna, 648 - Tarumã"
https://www.smartfit.com.br/academias/cabral,Cabral,"Avenida Paraná, nº1250 - Cabral"
